sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink
4558,6/12/2009 8:34:14 AM,13,53.0726469866931,8.85745908133686,46,6,290,51873075,,5.199239707124076,1.074376298031157
4558,6/12/2009 8:34:19 AM,13,53.0727167241275,8.85706152766943,44,22,286,51873013,,0.9633243098928886,0.17087171638195725
4558,6/12/2009 8:34:24 AM,13,53.0728402733803,8.8562981877476,44,44,288,811152826,,11.725770161589917,0.3511444903700005
4558,6/12/2009 8:34:29 AM,13,53.0730471387506,8.85528632439673,44,55,290,811152825,,7.490188810888263,0.33780076615838006
4558,6/12/2009 8:34:34 AM,13,53.0732860229909,8.8541741296649,45,55,289,51873066,,12.003337812980103,0.5250419455715127
4558,6/12/2009 8:34:39 AM,13,53.0735122505575,8.85308255441487,45,56,289,811152826,,11.009571878884493,0.18660494160416274
4559,6/12/2009 8:18:15 AM,13,53.0713192932308,8.86401926167309,49,0,164,51872238,T,4.438383782098626,0.12282193133010995
4559,6/12/2009 8:18:21 AM,13,53.0713201314211,8.8640187587589,49,0,156,51872238,T,4.433898832856986,0.12047750573678917
4559,6/12/2009 8:18:26 AM,13,53.0713201314211,8.86401792056859,49,0,168,51872238,T,4.4283523302842855,0.1208318560188889
4559,6/12/2009 8:18:31 AM,13,53.0713202990592,8.86401766911149,49,0,170,51872238,T,4.4264409370110425,0.12042616231495551
4559,6/12/2009 8:18:36 AM,13,53.0713207181543,8.86401792056859,49,0,150,51872238,F,4.42753907230154,0.1190396418362287
4559,6/12/2009 8:18:41 AM,13,53.0713211372495,8.86401842348278,49,0,162,51872238,F,4.430293380024114,0.11754748722275062
4559,6/12/2009 8:18:46 AM,13,53.0713215563446,8.8640187587589,49,0,164,51872238,F,4.431949205654844,0.11612635894656058
4559,6/12/2009 8:18:51 AM,13,53.0713217239827,8.86401917785406,49,0,158,51872238,F,4.4344876141651595,0.11543859129855723
4559,6/12/2009 8:18:56 AM,13,53.0713219754398,8.86401892639697,49,0,191,51872238,T,4.432497624980683,0.11477571304813772
4559,6/12/2009 8:19:01 AM,13,53.0713218916208,8.86401859112084,48,0,155,51872238,T,4.430384822120755,0.11517222345333056
4559,6/12/2009 8:19:06 AM,13,53.0713220592588,8.86401842348278,48,0,196,51872238,T,4.429053645352451,0.11473008546374135
4559,6/12/2009 8:19:11 AM,13,53.071322478354,8.86401833966374,48,0,193,51872238,T,4.427935554227365,0.1134839432028433
4559,6/12/2009 8:19:17 AM,13,53.0712836701423,8.86394893750548,49,13,223,51872238,T,4.048118535277927,0.26680239375172227
4559,6/12/2009 8:19:22 AM,13,53.0710429418832,8.86395622976124,50,24,152,51872536,,16.30186023917423,0.013949096344265995
4559,6/12/2009 8:19:27 AM,13,53.0708323884755,8.86460356414318,49,42,117,51872232,,6.651839694814777,0.008754984884811719
4559,6/12/2009 8:19:32 AM,13,53.0705995392054,8.86532717384398,49,36,117,51872536,,5.90849535292913,0.42122250486182544
4559,6/12/2009 8:19:37 AM,13,53.0704228486866,8.86578641831875,52,13,128,51872536,T,2.2740108405617394,0.6734439410359214
4559,6/12/2009 8:19:42 AM,13,53.0704113654792,8.86579832062125,54,0,148,51872034,T,9.461195146306057,1.237683873962859
4559,6/12/2009 8:19:47 AM,13,53.0704091861844,8.865797650069,54,0,222,51872034,T,9.436885507822156,1.2437934144142209
